Ano: 1988 | Categoria: 46_MANUFACTURES_OF_PLAITING_MATERIAL_BASKETWORK_ETC | Máximo: 135143778.0 | Mínimo: 7.0
Ano: 1988 | Categoria: 92_MUSICAL_INSTRUMENTS_PARTS_AND_ACCESSORIES | Máximo: 792202390.0 | Mínimo: 132.0
Ano: 1988 | Categoria: 13_LAC_GUMS_RESINS_VEGETABLE_SAPS_AND_EXTRACTS_NES | Máximo: 51995444.0 | Mínimo: 776.0
Ano: 1988 | Categoria: 30_PHARMACEUTICAL_PRODUCTS | Máximo: 1771547008.0 | Mínimo: 345.0
Ano: 1988 | Categoria: 34_SOAPS_LUBRICANTS_WAXES_CANDLES_MODELLING_PASTES | Máximo: 389911008.0 | Mínimo: 419.0
Ano: 1988 | Categoria: 62_ARTICLES_OF_APPAREL_ACCESSORIES_NOT_KNIT_OR_CROCHET | Máximo: 26190648.0 | Mínimo: 390.0
Ano: 1988 | Categoria: 81_OTHER_BASE_METALS_CERMETS_ARTICLES_THEREOF | Máximo: 95478213.0 | Mínimo: 12.0
Ano: 1988 | Categoria: 55_MANMADE_STAPLE_FIBRES | Máximo: 83145275.0 | Mínimo: 70.0
Ano: 1988 | Categoria: 41_RAW_HIDES_AND_SKINS_OTHER_THAN_FURSKINS_AND_LEATHER | Máximo: 907061056.0 | Mínimo: 11.0
Ano: 1988 | Categoria: ALL_COMMODITIES | Máximo: 323196113000.0 | Mínimo: 57281728.0
Ano: 1988 | Categoria: 75_NICKEL_AND_ARTICLES_THEREOF | Máximo: 568721024.0 | Mínimo: 8.0
Ano: 1988 | Categoria: 79_ZINC_AND_ARTICLES_THEREOF | Máximo: 179524000.0 | Mínimo: 20.0
Ano: 1988 | Categoria: 91_CLOCKS_AND_WATCHES_AND_PARTS_THEREOF | Máximo: 269561984.0 | Mínimo: 12.0
Ano: 1988 | Categoria: 95_TOYS_GAMES_SPORTS_REQUISITES | Máximo: 207282000.0 | Mínimo: 62.0
Ano: 1988 | Categoria: 10_CEREALS | Máximo: 2086840530.0 | Mínimo: 7.0
